season,chp_onset,retro_onset,retro_lead,prosp_onset,prosp_lead,prosp_delay
2014/15,2014-12-24,2014-11-19,35,2014-11-19,35,0
2015/16,2016-01-13,2015-11-04,70,2015-11-04,70,0
2018/19,2018-12-05,2018-11-07,28,2018-11-07,28,0
2023 S,2023-03-22,2023-02-15,35,2023-02-15,35,0
2023/24,2023-07-19,2023-08-16,-28,2023-08-16,-28,0
2024/25,2025-01-01,2024-11-13,49,2024-11-13,49,0
